ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 01/09/2025;COBERTURA;IMPORTE AFILIADO
51743;levetiracetam;CALLEXE;sol.oral x 300 ml;Casasco;$ 136537.04;50%;$ 68268.52
43010;levofloxacina;FENTAXINA;500 mg comp.rec.x 7;Casasco;$ 14538.04;60%;$ 5815.22
43011;levofloxacina;FENTAXINA;750 mg comp.rec.x 5;Casasco;$ 16733.87;60%;$ 6693.55
39206;lisado bacteriano;BRONCHO-VAXOM ADULTOS;cáps.x 10;Casasco;$ 62917.04;40%;$ 37750.22
43116;lisado bacteriano;BRONCHO-VAXOM ADULTOS;cáps.x 30;Casasco;$ 187337.21;40%;$ 112402.33
43118;lisado bacteriano;BRONCHO-VAXOM NIÑOS;sobres x 30;Casasco;$ 120003.52;40%;$ 72002.11
53243;lisado bacteriano+vit.a;VACUNA ORAL CASASCO;comp.x 30;Casasco;$ 44395.59;40%;$ 26637.35
43969;lisado bacteriano+vit.a;VACUNA ORAL CASASCO;fco.gotero x 30 ml;Casasco;$ 45026.24;40%;$ 27015.74
44718;loratadina+betametasona;CORTICAS L;comp.x 10;Casasco;$ 8710.76;40%;$ 5226.46
46820;loratadina+betametasona;CORTICAS L UD;comp.x 10;Casasco;$ 9061.22;40%;$ 5436.73
44719;loratadina+betametasona;CORTICAS L;sol.oral x 60 ml;Casasco;$ 9086.29;40%;$ 5451.77
50668;losartán;LOPLAC XR;100 mg comp.x 30;Casasco;$ 42191.26;80%;$ 8438.25
37849;losartán;LOPLAC;100 mg comp.x 30;Casasco;$ 27927.04;80%;$ 5585.41
23716;losartán;LOPLAC;50 mg comp.x 30;Casasco;$ 22879.61;80%;$ 4575.92
52677;losartán;LOPLAC;50 mg comp.x 60;Casasco;$ 43280.21;80%;$ 8656.04
37850;losartán+hidroclorotiazida;LOPLAC D;100 mg/25 mg comp.x 30;Casasco;$ 29068.6;60%;$ 11627.44
23717;losartán+hidroclorotiazida;LOPLAC D;50 mg/12.5 mg comp.x 30;Casasco;$ 26786.66;60%;$ 10714.66
54231;memantine;CARRIER XR;14 mg comp.x 30;Casasco;$ 33666.66;50%;$ 16833.33
45366;memantine;CARRIER;20 mg comp.x 30;Casasco;$ 43437.89;50%;$ 21718.95
55079;memantine;CARRIER XR;21 mg comp.x 30;Casasco;$ 39939;50%;$ 19969.5
54232;memantine;CARRIER XR;28 mg comp.x 30;Casasco;$ 46307.79;50%;$ 23153.9
55078;memantine;CARRIER XR;7 mg comp.x 30;Casasco;$ 19811.04;50%;$ 9905.52
34110;memantine;CARRIER;comp.x 30;Casasco;$ 33221.6;50%;$ 16610.8
34111;memantine;CARRIER;comp.x 60;Casasco;$ 59746.78;50%;$ 29873.39
46202;memantine clorh.+donepecilo clor;CARRIER PLUS;20/10mg comp.x56 (28+28);Casasco;$ 61454.22;50%;$ 30727.11
46203;memantine clorh.+donepecilo clor;CARRIER PLUS;20/5mg comp.x 56 (28+28);Casasco;$ 54342.63;50%;$ 27171.32
54230;memantine+donepecilo;LIRPAN PLUS;14/10mg cáps.x 30;Casasco;$ 69339.49;50%;$ 34669.75
54229;memantine+donepecilo;LIRPAN PLUS;28/10mg cáps.x 30;Casasco;$ 76585.56;50%;$ 38292.78
55704;mesalazina;CONDUCTASA;1200 mg comp.x 60;Casasco;$ 230777.07;50%;$ 115388.54
49184;mesalazina;CONDUCTASA;500 mg comp.x 60;Casasco;$ 107236.31;50%;$ 53618.16
49185;mesalazina;CONDUCTASA;800 mg comp.x 60;Casasco;$ 172159.47;50%;$ 86079.74
56250;metformina;IMECOT AP FORTE;1000 mg comp.x 30;Casasco;$ 11743.7;100%;$ 0
56251;metformina;IMECOT AP FORTE;1000 mg comp.x 60;Casasco;$ 21590.39;100%;$ 0
56246;metformina;IMECOT;500 mg comp.x 30;Casasco;$ 4337.7;100%;$ 0
57850;metformina;IMECOT AP;500 mg comp.x 30;Casasco;$ 7443.69;100%;$ 0
57851;metformina;IMECOT AP;500 mg comp.x 60;Casasco;$ 14176.86;100%;$ 0
56247;metformina;IMECOT;500 mg comp.x 60;Casasco;$ 8643.33;100%;$ 0
56248;metformina;IMECOT AP;850 mg comp.x 30;Casasco;$ 8871.72;100%;$ 0
56249;metformina;IMECOT AP;850 mg comp.x 60;Casasco;$ 17455.65;100%;$ 0
55081;minociclina;LIMAFIL 50;50 mg comp.x 30;Casasco;$ 15100.55;60%;$ 6040.22
43014;montelukast;MONTRATE;10 mg comp. x 30;Casasco;$ 34244.51;50%;$ 17122.26
43012;montelukast;MONTRATE;4 mg comp.mast.x 30;Casasco;$ 32252.03;50%;$ 16126.02
43013;montelukast;MONTRATE;5 mg comp.mast.x 30;Casasco;$ 32887.38;50%;$ 16443.69
46142;montelukast;MONTRATE;sob.x 30;Casasco;$ 31901.74;50%;$ 15950.87
54913;nebivolol;NIRPOL;10 mg comp.x 28;Casasco;$ 29367.79;50%;$ 14683.9
54914;nebivolol;NIRPOL;10 mg comp.x 56;Casasco;$ 61308.7;50%;$ 30654.35
47593;nebivolol;NIRPOL;5 mg comp.x 28;Casasco;$ 15742.44;50%;$ 7871.22
59858;nebivolol;NIRPOL;5 mg comp.x 30;Casasco;$ 15252.37;50%;$ 7626.19
54912;nebivolol;NIRPOL;5 mg comp.x 56;Casasco;$ 32480.67;50%;$ 16240.34
49693;nebivolol+hidroclorotiazida;NIRPOL D;5/12.5 mg comp.x 28;Casasco;$ 22644.42;50%;$ 11322.21
44645;nimodipina;EXPLANER LP;120 mg comp.x 30;Casasco;$ 22761.46;50%;$ 11380.73
11553;nimodipina;EXPLANER;30 mg comp.x 30;Casasco;$ 10286.67;50%;$ 5143.34
27828;nimodipina;EXPLANER;30 mg comp.x 60;Casasco;$ 17093.39;50%;$ 8546.7
24055;nimodipina;EXPLANER 60;60 mg comp.x 30;Casasco;$ 16814.86;50%;$ 8407.43
27829;nimodipina;EXPLANER 60;60 mg comp.x 60;Casasco;$ 25635.7;50%;$ 12817.85
48013;olanzapina;ENOLEX;10 mg comp.x 28;Casasco;$ 143231.28;50%;$ 71615.64
48012;olanzapina;ENOLEX;5 mg comp.x 28;Casasco;$ 72723.15;50%;$ 36361.58
42070;orlistat;OLEOFIN;120 mg cáps.x 30;Casasco;$ 46887.94;50%;$ 23443.97
42071;orlistat;OLEOFIN;120 mg cáps.x 60;Casasco;$ 86902.02;50%;$ 43451.01
43688;orlistat;OLEOFIN;60 mg cáps.x 30;Casasco;$ 28225.65;50%;$ 14112.83
38608;paroxetina;TIARIX 10;10 mg comp.rec.x 30;Casasco;$ 14975.84;50%;$ 7487.92
43842;paroxetina;TIARIX CR;12.5 mg comp.x 30;Casasco;$ 25542.27;50%;$ 12771.14
24815;paroxetina;TIARIX;20 mg comp.x 30;Casasco;$ 35246.88;50%;$ 17623.44
59864;paroxetina;TIARIX;20 mg comp.x 60;Casasco;$ 62583.17;50%;$ 31291.59
43843;paroxetina;TIARIX CR;25 mg comp.x 30;Casasco;$ 28764.53;50%;$ 14382.27
2002;pool bacteriano;VACUNACE;sob.x 20;Casasco;$ 21293.36;50%;$ 10646.68
45249;pool bacteriano;VACUNACE;sob.x 30;Casasco;$ 31655.26;50%;$ 15827.63
49187;potasio,citrato;UROKIT;comp.lib.prol.x 30;Casasco;$ 17640.33;50%;$ 8820.17
49188;potasio,citrato;UROKIT;comp.lib.prol.x 60;Casasco;$ 33873.48;50%;$ 16936.74
10540;potasio,citrato;UROKIT;sob.x 60;Casasco;$ 28211.34;50%;$ 14105.67
57704;pramipexol;NOXOPRAN;0.25 mg comp.x 100;Casasco;$ 57798.7;50%;$ 28899.35
43970;pramipexol;NOXOPRAN;0.25 mg comp.x 30;Casasco;$ 13499.37;50%;$ 6749.69
43971;pramipexol;NOXOPRAN;0.25 mg comp.x 60;Casasco;$ 27492.91;50%;$ 13746.46
57703;pramipexol;NOXOPRAN;1 mg comp.x 100;Casasco;$ 203397.1;50%;$ 101698.55
43972;pramipexol;NOXOPRAN;1 mg comp.x 30;Casasco;$ 52490.84;50%;$ 26245.42
43973;pramipexol;NOXOPRAN;1 mg comp.x 60;Casasco;$ 108929.06;50%;$ 54464.53
51778;prasugrel;ENIPRAX;10 mg comp.x 30;Casasco;$ 42561.45;50%;$ 21280.73
37851;prednisolona+asoc.;PROCTO VENART;pda.x 10 g;Casasco;$ 8692.19;50%;$ 4346.1
45254;prednisolona+asoc.;PROCTO VENART;pda.x 30 g;Casasco;$ 17154.96;50%;$ 8577.48
45363;pregabalina;NEURISTAN;150 mg cáps.x 30;Casasco;$ 52701.78;50%;$ 26350.89
46522;pregabalina;NEURISTAN;25 mg cáps.x 30;Casasco;$ 11077.97;50%;$ 5538.99
54227;pregabalina;NEURISTAN;50 mg cáps.x 30;Casasco;$ 21612.68;50%;$ 10806.34
51805;pregabalina;NEURISTAN MULTIDOSIS;75 mg comp.x 30;Casasco;$ 36040.66;50%;$ 18020.33
59862;pregabalina;NEURISTAN MULTIDOSIS;75 mg comp.x 60;Casasco;$ 62197.43;50%;$ 31098.72
45362;pregabalina;NEURISTAN;75 mg cáps.x 30;Casasco;$ 34121.64;50%;$ 17060.82
44640;quetiapina;ROSTRUM;100 mg comp.x 30;Casasco;$ 76160.35;50%;$ 38080.18
59855;quetiapina;ROSTRUM;100 mg comp.x 60;Casasco;$ 107083.78;50%;$ 53541.89
47591;quetiapina;ROSTRUM XR;200 mg comp.x 30;Casasco;$ 100470.33;50%;$ 50235.17
44641;quetiapina;ROSTRUM;200 mg comp.x 30;Casasco;$ 95250.95;50%;$ 47625.48
59856;quetiapina;ROSTRUM;200 mg comp.x 60;Casasco;$ 137742.64;50%;$ 68871.32
44638;quetiapina;ROSTRUM;25 mg comp.x 10;Casasco;$ 11634.64;50%;$ 5817.32
44639;quetiapina;ROSTRUM;25 mg comp.x 30;Casasco;$ 45031.11;50%;$ 22515.56
47592;quetiapina;ROSTRUM XR;300 mg comp.x 30;Casasco;$ 133682.41;50%;$ 66841.21
47589;quetiapina;ROSTRUM XR;50 mg comp.x 30;Casasco;$ 96840.8;50%;$ 48420.4
58991;rivaroxabán;REMEXAL;10 mg comp.rec.x 30;Casasco;$ 89829.65;50%;$ 44914.83
57660;rivaroxabán;REMEXAL;15 mg comp.rec.x 28;Casasco;$ 88542.84;50%;$ 44271.42
57661;rivaroxabán;REMEXAL;15 mg comp.rec.x 30;Casasco;$ 90776.72;50%;$ 45388.36
57662;rivaroxabán;REMEXAL;20 mg comp.rec.x 28;Casasco;$ 92061.53;50%;$ 46030.77
57663;rivaroxabán;REMEXAL;20 mg comp.rec.x 30;Casasco;$ 95233.45;50%;$ 47616.73
49690;roflumilast;LEMAST;0.5 mg comp.x 30;Casasco;$ 44868.12;50%;$ 22434.06
23714;rosuvastatina;HIPOLIPOL;10 mg comp.rec.x 28;Casasco;$ 19356.2;50%;$ 9678.1
55841;rosuvastatina;HIPOLIPOL;10 mg comp.rec.x 30;Casasco;$ 19880.39;50%;$ 9940.2
54923;rosuvastatina;HIPOLIPOL;10 mg comp.rec.x 56;Casasco;$ 37498.6;50%;$ 18749.3
24637;rosuvastatina;HIPOLIPOL;20 mg comp.rec.x 28;Casasco;$ 34663.19;50%;$ 17331.6
55842;rosuvastatina;HIPOLIPOL;20 mg comp.rec.x 30;Casasco;$ 35293.97;50%;$ 17646.99
54924;rosuvastatina;HIPOLIPOL;20 mg comp.rec.x 56;Casasco;$ 66095.45;50%;$ 33047.73
55484;rosuvastatina;HIPOLIPOL;40 mg comp.rec.x 28;Casasco;$ 59523.27;50%;$ 29761.64
55843;rosuvastatina;HIPOLIPOL;40 mg comp.rec.x 30;Casasco;$ 59957.91;50%;$ 29978.96
23712;rosuvastatina;HIPOLIPOL;5 mg comp.rec.x 28;Casasco;$ 12925.58;50%;$ 6462.79
55840;rosuvastatina;HIPOLIPOL;5 mg comp.rec.x 30;Casasco;$ 13004.54;50%;$ 6502.27
54922;rosuvastatina;HIPOLIPOL;5 mg comp.rec.x 56;Casasco;$ 24842.86;50%;$ 12421.43
59981;rosuvastatina+ezetimibe;HIPOLIPOL EZ;10/10 mg comp. x 30;Casasco;$ 27234.37;50%;$ 13617.19
59982;rosuvastatina+ezetimibe;HIPOLIPOL EZ;20/10 mg comp. x 30;Casasco;$ 47066.73;50%;$ 23533.37
31835;ruscogenina+hesperidina+asoc.;VENART;cáps.x 30;Casasco;$ 24159.34;50%;$ 12079.67
31836;ruscogenina+hesperidina+asoc.;VENART;cáps.x 60;Casasco;$ 43259.6;50%;$ 21629.8
41446;ruscogenina+meliloto,ext.fluido;VENART;cr.x 30 g;Casasco;$ 10863.37;50%;$ 5431.69
53102;ruscogenina+meliloto,ext.fluido;VENART;cr.x 60 g;Casasco;$ 19227.78;50%;$ 9613.89
40792;sertralina;ZOXX 100;100 mg comp.rec.x 30;Casasco;$ 39586.26;50%;$ 19793.13
59853;sertralina;ZOXX 100;100 mg comp.rec.x 60;Casasco;$ 56859.05;50%;$ 28429.53
40791;sertralina;ZOXX 50;50 mg comp.rec.x 30;Casasco;$ 23556.23;50%;$ 11778.12
59854;sertralina;ZOXX 50;50 mg comp.rec.x 60;Casasco;$ 37389.53;50%;$ 18694.77
40969;sildenafil;ACTIVIL MASTICABLE;50 mg comp.mast.x 2;Casasco;$ 4681.82;50%;$ 2340.91
1949;simeticona;FACTOR AG;200 mg comp.x 20;Casasco;$ 5892.14;50%;$ 2946.07
6080;simeticona;FACTOR AG;200 mg comp.x 40;Casasco;$ 11177.52;50%;$ 5588.76
1952;simeticona;FACTOR AG GOTAS;Ped.gts.x 30 ml;Casasco;$ 8496.62;50%;$ 4248.31
3831;simeticona;FACTOR AG FORTE;emuls.x 150 ml;Casasco;$ 7950.94;50%;$ 3975.47
1955;simeticona;FACTOR AG FORTE;emuls.x 60 ml;Casasco;$ 5091.9;50%;$ 2545.95
59844;sitagliptina;SOTIL;100 mg comp.rec.x 30;Casasco;$ 91005.49;100%;$ 0
59846;sitagliptina;SOTIL;25 mg comp.rec.x 30;Casasco;$ 72441.65;100%;$ 0
59845;sitagliptina;SOTIL;50 mg comp.rec.x 30;Casasco;$ 84498.16;100%;$ 0
59980;sitagliptina+metformina,clorh.;SOTIL MET XR;100/1000 mg comp.x 30;Casasco;$ 106485.08;100%;$ 0
60465;sitagliptina+metformina,clorh.;SOTIL MET;50/1000 mg comp.rec.x 30;Casasco;$ 57445.29;100%;$ 0
60464;sitagliptina+metformina,clorh.;SOTIL MET;50/1000 mg comp.rec.x 60;Casasco;$ 98548.61;100%;$ 0
59979;sitagliptina+metformina,clorh.;SOTIL MET XR;50/1000 mg comp.x 60;Casasco;$ 101959.53;100%;$ 0
60466;sitagliptina+metformina,clorh.;SOTIL MET;50/500 mg comp.rec.x 30;Casasco;$ 46567.63;100%;$ 0
60467;sitagliptina+metformina,clorh.;SOTIL MET;50/850 mg comp.rec.x 60;Casasco;$ 97899.59;100%;$ 0
46326;sodio,divalproato;VALCAS;250 mg comp.x 50;Casasco;$ 30352.55;80%;$ 6070.51
46327;sodio,divalproato;VALCAS;500 mg comp.x 50;Casasco;$ 55552.53;80%;$ 11110.51
47937;solifenacina;SOLIFEN;10 mg comp.rec.x 30;Casasco;$ 45871.7;50%;$ 22935.85
47936;solifenacina;SOLIFEN;5 mg comp.rec.x 30;Casasco;$ 40537.64;50%;$ 20268.82
53676;solifenacina+tamsulosina;URALOS MAX;6mg/0.4mg comp.x30;Casasco;$ 42186.58;50%;$ 21093.29
50475;tadalafilo;PERDURAL;20 mg comp.rec.x 2;Casasco;$ 20528.17;50%;$ 10264.09
52251;tadalafilo;PERDURAL;5 mg comp.rec.x 28;Casasco;$ 81696.78;50%;$ 40848.39
44636;tamsulosina;URALOS CR;0.4 mg comp.x 30;Casasco;$ 36114.81;50%;$ 18057.41
59850;tamsulosina;URALOS CR;0.4 mg comp.x 60;Casasco;$ 55214.94;50%;$ 27607.47
57657;telmisartán;SACTAN;40 mg comp.x 28;Casasco;$ 52039.19;60%;$ 20815.68
57658;telmisartán;SACTAN;80 mg comp.x 28;Casasco;$ 73101.33;60%;$ 29240.53
59943;telmisartán+amlodipina;SACTAN AMLO;40/5 mg comp.x 28;Casasco;$ 58469.03;50%;$ 29234.52
59945;telmisartán+amlodipina;SACTAN AMLO;80/10 mg comp.x 28;Casasco;$ 75616.82;50%;$ 37808.41
59944;telmisartán+amlodipina;SACTAN AMLO;80/5 mg comp.x 28;Casasco;$ 73518.51;50%;$ 36759.26
59940;telmisartán+hidroclorotiazida;SACTAN D;40/12.5 mg comp.x 28;Casasco;$ 45839.97;50%;$ 22919.99
59941;telmisartán+hidroclorotiazida;SACTAN D;80/12.5 mg comp.x 28;Casasco;$ 70542.02;50%;$ 35271.01
59942;telmisartán+hidroclorotiazida;SACTAN D;80/25 mg comp.x 28;Casasco;$ 74601.31;50%;$ 37300.66
32800;terazosina;ANDRIN;10 mg comp.x 30;Casasco;$ 21340.6;50%;$ 10670.3
32798;terazosina;ANDRIN;2 mg comp.x 30;Casasco;$ 13715.22;50%;$ 6857.61
32799;terazosina;ANDRIN;5 mg comp.x 30;Casasco;$ 17476.3;50%;$ 8738.15
49190;tióctico,ác.;TINACTOL;600 mg comp.x 30;Casasco;$ 38880.91;50%;$ 19440.46
49688;topiramato;EPISTAL;100 mg comp.x 28;Casasco;$ 45093.54;80%;$ 9018.71
49689;topiramato;EPISTAL;100 mg comp.x 56;Casasco;$ 85423.09;80%;$ 17084.62
49686;topiramato;EPISTAL;25 mg comp.x 28;Casasco;$ 15110.15;80%;$ 3022.03
59851;topiramato;EPISTAL;25 mg comp.x 56;Casasco;$ 25404.81;80%;$ 5080.96
49687;topiramato;EPISTAL;50 mg comp.x 28;Casasco;$ 28869.79;80%;$ 5773.96
59852;topiramato;EPISTAL;50 mg comp.x 56;Casasco;$ 52206.68;80%;$ 10441.34
56254;tramadol;LIXIDOL 100 LP;100 mg comp.LP.x 10;Casasco;$ 14107.76;50%;$ 7053.88
56255;tramadol;LIXIDOL GOTAS;100 mg gotas x 10 ml;Casasco;$ 15439.32;50%;$ 7719.66
56256;tramadol;LIXIDOL GOTAS;100 mg gotas x 20 ml;Casasco;$ 23347.86;50%;$ 11673.93
56252;tramadol;LIXIDOL 50;50 mg comp.x 20;Casasco;$ 13907.76;50%;$ 6953.88
56253;tramadol;LIXIDOL 50;50 mg comp.x 30;Casasco;$ 19394.23;50%;$ 9697.12
58307;tramadol;LIXIDOL GOTAS;50 mg gotas x 10 ml;Casasco;$ 11382.13;50%;$ 5691.07
58308;tramadol;LIXIDOL GOTAS;50 mg gotas x 20 ml;Casasco;$ 20398.05;50%;$ 10199.03
58771;tramadol+paracetamol;LIXIDOL GESIC;comp.x 10;Casasco;$ 12559.96;40%;$ 7535.98
58769;tramadol+paracetamol;LIXIDOL GESIC;comp.x 20;Casasco;$ 24727.55;40%;$ 14836.53
58770;tramadol+paracetamol;LIXIDOL GESIC;comp.x 30;Casasco;$ 31160.81;40%;$ 18696.49
54600;trimebutina+simeticona;FACTOREX;comp.x 30;Casasco;$ 14231.84;50%;$ 7115.92
55706;trimebutina+simeticona;FACTOREX;comp.x 60;Casasco;$ 26396.85;50%;$ 13198.43
48355;valsartán;DILCORAN;160 mg comp.rec.x 28;Casasco;$ 30875.67;60%;$ 12350.27
59860;valsartán;DILCORAN;160 mg comp.rec.x 30;Casasco;$ 27598.5;60%;$ 11039.4
54916;valsartán;DILCORAN;160 mg comp.rec.x 56;Casasco;$ 55332.62;60%;$ 22133.05
54228;valsartán;DILCORAN;320 mg comp.rec.x 28;Casasco;$ 33859.05;60%;$ 13543.62
59861;valsartán;DILCORAN;320 mg comp.rec.x 30;Casasco;$ 29507.47;60%;$ 11802.99
54917;valsartán;DILCORAN;320 mg comp.rec.x 56;Casasco;$ 7697.03;60%;$ 3078.81
48354;valsartán;DILCORAN;80 mg comp.rec.x 28;Casasco;$ 23328.49;60%;$ 9331.4
59859;valsartán;DILCORAN;80 mg comp.rec.x 30;Casasco;$ 20910.48;60%;$ 8364.19
54915;valsartán;DILCORAN;80 mg comp.rec.x 56;Casasco;$ 42176.81;60%;$ 16870.72
50472;valsartán+amlodipina;DILCORAN PLUS;160/10 mg comp.rec.x 28;Casasco;$ 36497.16;50%;$ 18248.58
54919;valsartán+amlodipina;DILCORAN PLUS;160/10 mg comp.rec.x 56;Casasco;$ 66032.36;50%;$ 33016.18
50471;valsartán+amlodipina;DILCORAN PLUS;160/5 mg comp.rec.x 28;Casasco;$ 35280.17;50%;$ 17640.09
54918;valsartán+amlodipina;DILCORAN PLUS;160/5 mg comp.rec.x 56;Casasco;$ 63739.39;50%;$ 31869.7
60406;valsartán+hidrocloroti.+amlodip.;DILCORAN PLUS D;160/12.5/10 mg comp.x 30;Casasco;$ 42732.64;50%;$ 21366.32
60407;valsartán+hidrocloroti.+amlodip.;DILCORAN PLUS D;160/12.5/5 mg comp.x 30;Casasco;$ 40634.45;50%;$ 20317.23
60408;valsartán+hidrocloroti.+amlodip.;DILCORAN PLUS D;320/25/10 mg comp.x 30;Casasco;$ 45775.96;50%;$ 22887.98
50470;valsartán+hidroclorotiazida;DILCORAN D;160/12.5 mg comp.rec.x28;Casasco;$ 27588.67;50%;$ 13794.34
50469;valsartán+hidroclorotiazida;DILCORAN D;80/12.5 mg comp.rec.x 28;Casasco;$ 23581.97;50%;$ 11790.99
54920;valsartán+hidroclorotiazida;DILCORAN D;80/12.5 mg comp.rec.x 56;Casasco;$ 24632.63;50%;$ 12316.32
44644;venlafaxina;SUNVEX LP;150 mg cáps.x 28;Casasco;$ 32095.89;50%;$ 16047.95
44642;venlafaxina;SUNVEX LP;37.5 mg cáps.x 28;Casasco;$ 23061.32;50%;$ 11530.66
44643;venlafaxina;SUNVEX LP;75 mg cáps.x 28;Casasco;$ 24074.46;50%;$ 12037.23
18053;vit.+minerales;POLPER CALCIO-MAGNESIO;comp.x 30;Casasco;$ 22323.61;40%;$ 13394.17
56245;vit.d3;CRADA;sol.oral x 2 ml;Casasco;$ 8678.09;40%;$ 5206.85
49805;aciclovir;VIROSTATIC 800;comp.x 20;Cassarß;$ 19250;60%;$ 7700
45844;amoxicilina+clavulánico,ác.;CLAMOXOL DUO;comp.rec.x 10;Cassarß;$ 8955.62;60%;$ 3582.25
42042;amoxicilina+clavulánico,ác.;CLAMOXOL DUO;comp.rec.x 14;Cassarß;$ 9980.95;60%;$ 3992.38
49050;betametasona+gentamic.+miconazol;BETACORT PLUS CASSARA;cr.dérmica x 25 g;Cassarß;$ 9513.93;50%;$ 4756.97
45935;budesonide;NEUMOCORT HFA;200 mcg aer.x 200 dosis;Cassarß;$ 12800.63;80%;$ 2560.13
47358;budesonide;NEUMOCORT + AEROMED;200 mcg hfa aer.x 200ds.;Cassarß;$ 18933.95;80%;$ 3786.79
28698;budesonide;HYPERSOL B 100;spray nasal x 100 dosis;Cassarß;$ 9940.07;80%;$ 1988.01
28697;budesonide;HYPERSOL B 50;spray nasal x 200 dosis;Cassarß;$ 9560.44;80%;$ 1912.09
59432;budesonide+formoterol;NEUMOCORT PLUS;200/6 mcg cáps.inh.x 60;Cassarß;$ 37684.89;60%;$ 15073.96
52142;budesonide+formoterol;NEUMOCORT PLUS;200/6mcg aer.inh.x 60ds.;Cassarß;$ 14630.32;60%;$ 5852.13
50084;budesonide+formoterol;NEUMOCORT PLUS;200/6mcg aer.inh.x150ds.;Cassarß;$ 35726.1;60%;$ 14290.44
57567;budesonide+formoterol;NEUMOCORT PLUS;cáps.c/polvo x120+aplic.;Cassarß;$ 56680.56;60%;$ 22672.22
57392;budesonide+formoterol;NEUMOCORT PLUS;cáps.c/polvo x60 +aplic.;Cassarß;$ 39462.3;60%;$ 15784.92
36898;cetirizina;ATOPIX;comp.rec.x 20;Cassarß;$ 13580;40%;$ 8148
37180;cetirizina;ATOPIX;gts.x 20 ml;Cassarß;$ 9250;40%;$ 5550
50010;cistina+asoc.;RECUPEL;comp.x 60;Cassarß;$ 30270;40%;$ 18162
36632;clindamicina;CLIDAN;gel dérm.x 15 g;Cassarß;$ 6214.84;60%;$ 2485.94
39205;clindamicina+benzoílo,peróxido;CLIDAN B;gel x 30 g;Cassarß;$ 11134.51;50%;$ 5567.26
32425;clotrimazol;MICOSEP;pasta dérm.x 30 g;Cassarß;$ 8610;40%;$ 5166
50517;fluconazol;FLUCODERM;150 mg comp.ran.x 4;Cassarß;$ 16836.47;50%;$ 8418.24
46726;fluticasona;FLUTICORT;125 mcg aer.hfa x 120ds.;Cassarß;$ 25699.76;80%;$ 5139.95
46727;fluticasona;FLUTICORT;250 mcg aer.hfa x 120ds.;Cassarß;$ 33120.92;80%;$ 6624.18
45636;fluticasona;FLUTICORT;50 mcg spray nas.x60 ds.;Cassarß;$ 8440;80%;$ 1688
48169;fluticasona+salmeterol;FLUTIVENT HFA;125/25 mcg dosis x 120;Cassarß;$ 32295.3;60%;$ 12918.12
48156;fluticasona+salmeterol;FLUTIVENT HFA;125/25 mcg dosis x 60;Cassarß;$ 15587.84;60%;$ 6235.14
48681;fluticasona+salmeterol;FLUTIVENT+AEROMED HFA;125/25mcg ds.x150+espac.;Cassarß;$ 37705.89;60%;$ 15082.36
47968;fluticasona+salmeterol;FLUTIVENT HFA;250/25 mcg dosis x 120;Cassarß;$ 36469.7;60%;$ 14587.88
47680;fluticasona+salmeterol;FLUTIVENT HFA;250/25 mcg dosis x 60;Cassarß;$ 16431.45;60%;$ 6572.58
26106;fusídico,ác.;FUSIMED;2% cr.x 15 g;Cassarß;$ 6351.63;60%;$ 2540.65
24362;fusídico,ác.+betametasona;FUSIMED B OTONASAL;emuls.x 15 g;Cassarß;$ 9629.43;50%;$ 4814.72
23064;fusídico,ác.+betametasona;FUSIMED B;emuls.x 50 g;Cassarß;$ 14888.84;50%;$ 7444.42
24231;hidrocortisona;ALFACORT;1% cr.x 30 g;Cassarß;$ 6442.73;50%;$ 3221.37
24232;hidrocortisona;ALFACORT;1% emuls.x 100 ml;Cassarß;$ 16221.53;50%;$ 8110.77
26462;hidrocortisona;ALFACORT;1% emuls.x 15 ml;Cassarß;$ 4640.89;50%;$ 2320.45
25126;hidrocortisona;ALFACORT UNIDOSIS;env.x 20 unidosis;Cassarß;$ 11065.66;50%;$ 5532.83
42288;imiquimod;MODULCASS;5% cr.derm.x 3 g;Cassarß;$ 13969.78;50%;$ 6984.89
47471;ipratropio,bromuro;AEROTROP;aer.hfa x 250 ds.;Cassarß;$ 14277.94;60%;$ 5711.18
38201;ipratropio,bromuro;AEROTROP;sol.neb.x24 unid.x 2.5ml;Cassarß;$ 14334.28;60%;$ 5733.71
44319;ipratropio,bromuro;AEROTROP;spray nasal x 120 dosis;Cassarß;$ 8586.76;60%;$ 3434.7
46257;itraconazol;ITRAC 200;cáps.x 14;Cassarß;$ 22372.25;50%;$ 11186.13
31806;itraconazol;ITRAC 100;cáps.x 15;Cassarß;$ 18410.6;50%;$ 9205.3
50388;ivermectina;LICEND;0.5% loción x 60 g;Cassarß;$ 9798.42;50%;$ 4899.21
55470;ivermectina;IVERCASS;comp.x 4;Cassarß;$ 14135.91;50%;$ 7067.96
55128;ivermectina;IVERCASS;sol.oral gtas.x 20 ml;Cassarß;$ 17402.12;50%;$ 8701.06
50948;ketoconazol;EUMICEL COLAGENO;2% shamp.x 120 ml;Cassarß;$ 17140;40%;$ 10284
24230;loratadina+betametasona;SINALER B;comp.x 20;Cassarß;$ 13660;40%;$ 8196
34506;loratadina+betametasona;SINALER B;jbe.x 50 ml;Cassarß;$ 7310;40%;$ 4386
42043;loratadina+pseudoefedrina;SINALER D;caps.x 10;Cassarß;$ 9247.27;40%;$ 5548.36
